"","value","count"
"1",1,63061
"2",2,31420
"3",3,4
"4",4,381
"5",21,1172
"6",22,5579
"7",24,112156
"8",28,13565
"9",33,574
"10",36,166705
"11",37,131
"12",41,4
"13",42,18
"14",43,23
"15",47,85
"16",49,1
"17",53,81
"18",54,42
"19",61,49528
"20",66,167
"21",67,501
"22",69,73343
"23",71,88
"24",72,65
"25",75,118179
"26",76,26576
"27",111,2318
"28",121,55641
"29",122,22525
"30",123,26029
"31",124,4087
"32",131,9094
"33",141,71
"34",142,727
"35",143,403
"36",152,4120
"37",176,254081
"38",190,4385
"39",195,316
"40",204,52044
"41",205,4613
"42",206,132
"43",208,1
"44",210,1743
"45",211,7034
"46",212,13991
"47",216,4
"48",217,7
"49",218,240
"50",219,1
"51",220,133
"52",223,21
"53",225,27587
"54",226,597
"55",NA,549854
