"","value","count"
"1",1,87199
"2",2,63165
"3",3,2
"4",4,803
"5",12,7
"6",21,8047
"7",22,3833
"8",23,321
"9",24,221670
"10",27,518
"11",28,87934
"12",33,861
"13",36,512753
"14",37,20281
"15",42,38
"16",43,47
"17",44,46
"18",46,5
"19",48,24
"20",49,3382
"21",50,2
"22",53,437
"23",54,1146
"24",57,1
"25",61,323297
"26",66,2011
"27",67,3285
"28",68,313
"29",69,260404
"30",71,2619
"31",72,12497
"32",74,751
"33",75,150336
"34",76,131770
"35",77,355
"36",111,7749
"37",121,166363
"38",122,80214
"39",123,104285
"40",124,16177
"41",131,4218
"42",141,316
"43",142,1612
"44",143,3
"45",152,5106
"46",176,572095
"47",190,4095
"48",195,91
"49",204,131194
"50",205,2808
"51",206,503
"52",207,6
"53",208,46
"54",209,8
"55",211,85337
"56",212,364491
"57",213,1476
"58",214,892
"59",217,8599
"60",218,3167
"61",219,216
"62",220,27674
"63",222,3
"64",223,256
"65",225,485991
"66",226,4748
"67",227,606
"68",236,41991
"69",237,2126
"70",238,782
"71",242,53
"72",244,305
"73",NA,1914184
