"","value","count"
"1",1,10651
"2",2,2854
"3",3,1
"4",4,59
"5",12,19
"6",21,626
"7",22,82
"8",23,3
"9",24,14043
"10",28,4070
"11",33,177
"12",36,118524
"13",37,1025
"14",41,2
"15",44,601
"16",48,89
"17",49,564
"18",53,18
"19",54,188
"20",59,45
"21",61,56067
"22",66,6439
"23",67,18343
"24",68,648
"25",69,346810
"26",71,2169
"27",72,5833
"28",74,280
"29",75,101525
"30",76,100346
"31",77,416
"32",111,3869
"33",121,86609
"34",122,34096
"35",123,43197
"36",124,8536
"37",131,3527
"38",141,2
"39",142,192
"40",143,2
"41",152,4450
"42",176,216992
"43",190,478
"44",195,69
"45",204,126518
"46",205,421
"47",206,404
"48",208,277
"49",209,24
"50",211,29153
"51",212,176156
"52",213,206
"53",214,32
"54",217,4649
"55",218,19865
"56",219,7
"57",220,56269
"58",223,77
"59",225,61814
"60",226,1175
"61",227,146
"62",236,1871
"63",237,52
"64",238,1
"65",242,338
"66",NA,1168027
