"","value","count"
"1",1,9209
"2",2,6457
"3",3,1
"4",4,1311
"5",21,2782
"6",22,10
"7",23,2
"8",24,22807
"9",27,17
"10",28,4360
"11",33,413
"12",36,107379
"13",37,966
"14",41,12
"15",42,1
"16",43,13
"17",44,129
"18",47,161
"19",48,25
"20",49,414
"21",53,732
"22",54,1025
"23",58,6
"24",61,67419
"25",66,3137
"26",67,8156
"27",68,20
"28",69,335940
"29",71,5643
"30",72,7654
"31",74,1402
"32",75,154502
"33",76,140970
"34",77,357
"35",111,5332
"36",121,81791
"37",122,34643
"38",123,48106
"39",124,9648
"40",131,4496
"41",141,12
"42",142,219
"43",143,15
"44",152,3712
"45",176,204881
"46",190,4360
"47",195,123
"48",204,22820
"49",205,537
"50",206,197
"51",207,1
"52",208,37
"53",209,1
"54",211,20016
"55",212,242596
"56",214,268
"57",216,3
"58",217,4585
"59",218,17207
"60",219,60
"61",220,22768
"62",223,605
"63",224,25
"64",225,54370
"65",226,22
"66",227,55
"67",235,199
"68",236,5083
"69",237,1740
"70",238,8
"71",242,2
"72",NA,1168043
