"","value","count"
"1",1,123098
"2",2,90502
"3",3,60
"4",4,15273
"5",12,699
"6",21,51327
"7",22,441
"8",23,5
"9",24,336790
"10",27,91
"11",28,23623
"12",33,1790
"13",36,311182
"14",37,4672
"15",41,845
"16",42,430
"17",43,214
"18",44,83
"19",48,531
"20",49,2026
"21",53,7465
"22",54,20556
"23",57,6
"24",59,780
"25",61,455061
"26",66,3594
"27",67,342
"28",68,403
"29",69,210917
"30",71,7788
"31",72,6618
"32",74,680
"33",75,669245
"34",76,156852
"35",77,1124
"36",111,10255
"37",121,161698
"38",122,82642
"39",123,112215
"40",124,18177
"41",131,8429
"42",141,72
"43",142,228
"44",143,17
"45",152,6109
"46",176,449614
"47",190,3186
"48",195,677
"49",204,236554
"50",205,16632
"51",206,2232
"52",207,6
"53",208,2128
"54",209,545
"55",211,16368
"56",212,170032
"57",213,8
"58",214,284
"59",216,358
"60",217,26890
"61",218,550
"62",219,355
"63",220,4776
"64",225,165045
"65",226,467
"66",227,225
"67",236,22447
"68",237,377
"69",238,301
"70",242,765
"71",NA,1914169
