"","value","count"
"1",1,24663
"2",2,6269
"3",3,1
"4",4,265
"5",12,98
"6",21,3247
"7",22,30
"8",24,31661
"9",27,4
"10",28,1996
"11",33,1134
"12",36,82177
"13",37,1105
"14",42,572
"15",43,83
"16",44,433
"17",47,26
"18",48,83
"19",49,261
"20",53,342
"21",54,4487
"22",57,40
"23",58,1
"24",61,144843
"25",66,5965
"26",67,11990
"27",68,2498
"28",69,360730
"29",71,5808
"30",72,2843
"31",74,319
"32",75,195704
"33",76,110600
"34",77,33
"35",111,4311
"36",121,85342
"37",122,33288
"38",123,42710
"39",124,8397
"40",131,5715
"41",141,210
"42",142,259
"43",143,1
"44",152,6804
"45",176,244012
"46",190,6159
"47",195,28
"48",204,26615
"49",205,1051
"50",206,72
"51",208,65
"52",209,9
"53",211,30522
"54",212,84960
"55",213,1
"56",216,3
"57",217,12925
"58",218,2356
"59",220,14784
"60",223,1
"61",225,59543
"62",226,162
"63",227,444
"64",229,8
"65",235,105
"66",236,2467
"67",237,159
"68",238,11
"69",242,163
"70",243,2
"71",NA,1168043
