"","value","count"
"1",1,14440
"2",2,4609
"3",3,4
"4",4,386
"5",12,194
"6",21,2983
"7",22,100
"8",23,37
"9",24,45045
"10",27,41
"11",28,1942
"12",33,112
"13",36,56111
"14",37,1040
"15",42,251
"16",44,21
"17",48,52
"18",49,731
"19",53,272
"20",54,4597
"21",59,10
"22",61,105813
"23",66,3925
"24",67,2549
"25",68,2
"26",69,460013
"27",71,11571
"28",72,7556
"29",74,170
"30",75,212977
"31",76,117573
"32",77,1107
"33",111,4947
"34",121,83359
"35",122,35175
"36",123,46552
"37",124,9160
"38",131,5452
"39",141,267
"40",142,318
"41",143,3
"42",152,4660
"43",176,176662
"44",190,3276
"45",195,109
"46",204,33906
"47",205,1386
"48",206,67
"49",207,1
"50",208,1114
"51",209,35
"52",211,10687
"53",212,175231
"54",213,1
"55",214,3
"56",216,38
"57",217,3039
"58",218,2798
"59",220,5176
"60",225,12562
"61",226,63
"62",227,46
"63",236,807
"64",237,7
"65",238,3
"66",242,831
"67",NA,1168043
