"","value","count"
"1",1,118876
"2",2,69604
"3",3,27
"4",4,939
"5",12,179
"6",21,5499
"7",22,2928
"8",23,2060
"9",24,142541
"10",28,66174
"11",33,1558
"12",36,535701
"13",37,16566
"14",41,9
"15",42,249
"16",43,1
"17",44,1427
"18",47,2
"19",48,109
"20",49,961
"21",53,148
"22",54,891
"23",57,4
"24",61,331924
"25",66,3270
"26",67,2353
"27",68,1304
"28",69,255351
"29",71,3606
"30",72,12105
"31",74,189
"32",75,192581
"33",76,120187
"34",77,756
"35",111,7526
"36",121,171186
"37",122,78669
"38",123,103612
"39",124,15755
"40",131,6272
"41",141,15
"42",142,165
"43",143,8
"44",152,5039
"45",176,539122
"46",190,851
"47",195,183
"48",204,185562
"49",205,1638
"50",206,821
"51",208,290
"52",209,101
"53",211,78094
"54",212,332256
"55",213,882
"56",214,62
"57",216,2
"58",217,9809
"59",218,2453
"60",219,259
"61",220,34280
"62",223,77
"63",225,510621
"64",226,6776
"65",227,281
"66",236,40468
"67",237,1878
"68",238,422
"69",242,235
"70",243,13
"71",NA,1914184
