"","value","count"
"1",1,2550
"2",2,1242
"3",3,3
"4",21,1019
"5",23,52
"6",24,19093
"7",28,6659
"8",33,26
"9",36,53688
"10",37,934
"11",42,28
"12",44,5
"13",48,4
"14",49,795
"15",54,1209
"16",59,19
"17",61,37973
"18",66,10959
"19",67,18725
"20",69,398619
"21",71,7558
"22",72,10661
"23",75,236524
"24",76,188919
"25",77,171
"26",111,5068
"27",121,85085
"28",122,33736
"29",123,46855
"30",124,9688
"31",131,3227
"32",141,6
"33",142,112
"34",143,1
"35",152,8019
"36",176,181587
"37",190,2940
"38",195,171
"39",204,18201
"40",205,404
"41",206,808
"42",208,261
"43",209,16
"44",211,11841
"45",212,172198
"46",214,5
"47",217,12889
"48",218,6439
"49",220,12225
"50",221,2
"51",225,59690
"52",226,7
"53",227,107
"54",236,3544
"55",237,1390
"56",238,12
"57",242,6
"58",NA,1168043
