"","value","count"
"1",1,11934
"2",2,8672
"3",3,50
"4",4,1133
"5",6,3
"6",21,169
"7",22,65
"8",24,5944
"9",27,216
"10",28,305
"11",33,773
"12",36,38937
"13",37,2063
"14",42,818
"15",43,57
"16",44,38
"17",47,212
"18",48,3
"19",49,345
"20",53,56
"21",54,1875
"22",57,1
"23",58,1
"24",59,8
"25",61,88188
"26",66,13940
"27",67,44475
"28",68,2365
"29",69,322799
"30",71,236604
"31",72,115015
"32",74,3179
"33",75,107173
"34",76,27089
"35",77,1811
"36",111,5581
"37",121,81603
"38",122,32243
"39",123,48349
"40",124,9375
"41",131,3836
"42",141,61
"43",142,310
"44",143,40
"45",152,7651
"46",176,161476
"47",190,6442
"48",195,884
"49",204,8136
"50",205,2557
"51",206,96
"52",208,2013
"53",209,169
"54",211,11344
"55",212,95828
"56",213,6
"57",214,251
"58",215,154
"59",216,15
"60",217,8213
"61",218,56141
"62",220,10467
"63",221,14
"64",225,64866
"65",226,310
"66",227,134
"67",236,2817
"68",237,542
"69",242,15730
"70",246,5
"71",NA,1168043
