"","value","count"
"1",1,136422
"2",2,127805
"3",3,14
"4",4,2040
"5",12,156
"6",21,5313
"7",22,244
"8",24,214230
"9",27,6
"10",28,50097
"11",33,412
"12",36,407595
"13",37,2451
"14",38,5
"15",41,261
"16",42,214
"17",43,1114
"18",44,1800
"19",47,1413
"20",48,58
"21",49,760
"22",53,3946
"23",54,2890
"24",57,56
"25",58,2
"26",59,7
"27",61,458685
"28",66,2941
"29",67,2021
"30",68,379
"31",69,189306
"32",71,9863
"33",72,21513
"34",74,1082
"35",75,247346
"36",76,165241
"37",77,2927
"38",111,8449
"39",121,166100
"40",122,75667
"41",123,101609
"42",124,15592
"43",131,10485
"44",141,65
"45",142,550
"46",143,174
"47",152,7918
"48",176,524950
"49",190,5095
"50",195,287
"51",204,147557
"52",205,9902
"53",206,322
"54",208,577
"55",209,23
"56",211,39871
"57",212,306174
"58",214,2
"59",216,14
"60",217,16954
"61",218,3092
"62",220,17356
"63",221,3
"64",225,442814
"65",226,5321
"66",227,323
"67",229,1
"68",235,1464
"69",236,53603
"70",237,2313
"71",238,252
"72",242,133
"73",243,48
"74",244,102
"75",NA,1914169
