"","value","count"
"1",1,138306
"2",2,97254
"3",3,10
"4",4,8325
"5",21,21421
"6",22,670
"7",23,198
"8",24,155307
"9",27,179
"10",28,40346
"11",33,143
"12",36,376308
"13",37,11294
"14",38,4633
"15",42,2
"16",43,564
"17",44,1149
"18",46,5
"19",47,740
"20",48,116
"21",49,627
"22",53,5314
"23",54,5292
"24",61,430618
"25",66,7061
"26",67,3348
"27",68,23
"28",69,231220
"29",71,6196
"30",72,14759
"31",74,7152
"32",75,299677
"33",76,178836
"34",77,1096
"35",111,8302
"36",121,166896
"37",122,74769
"38",123,102825
"39",124,16289
"40",131,13953
"41",141,164
"42",142,145
"43",143,47
"44",152,6944
"45",176,534248
"46",190,8100
"47",195,977
"48",204,169845
"49",205,7060
"50",206,1168
"51",207,8
"52",208,55
"53",211,21356
"54",212,292725
"55",213,853
"56",214,447
"57",216,394
"58",217,13805
"59",218,677
"60",219,428
"61",220,20482
"62",222,96
"63",223,62
"64",225,417557
"65",226,2465
"66",227,25
"67",234,5
"68",235,4877
"69",236,86362
"70",237,1428
"71",238,1409
"72",242,340
"73",NA,1914169
