"","value","count"
"1",1,219341
"2",2,214212
"3",4,431
"4",21,22688
"5",22,13139
"6",24,358467
"7",28,24763
"8",33,5
"9",36,548210
"10",37,7460
"11",42,13
"12",43,486
"13",49,1734
"14",53,10
"15",54,5
"16",61,169260
"17",63,3
"18",66,4032
"19",67,5660
"20",68,1
"21",69,155104
"22",71,7120
"23",72,12509
"24",75,170672
"25",76,128185
"26",111,18582
"27",121,178260
"28",122,73658
"29",123,91833
"30",124,13717
"31",131,63547
"32",141,156
"33",142,443
"34",143,2
"35",152,26111
"36",176,918989
"37",190,18828
"38",195,1439
"39",204,68983
"40",205,4398
"41",206,98
"42",208,6
"43",210,52563
"44",211,76995
"45",212,315684
"46",217,2228
"47",218,1583
"48",220,25478
"49",225,6769
"50",227,1917
"51",NA,1914169
