headwatershed,area_sqm
1,1329443687
2,2826675124
3,2790528884
4,1423572027
5,2484939343
6,2663739619
7,1416271322
8,3624572980
9,2936936602
10,2703299748
11,1669433302
12,1377053145
13,4196618130
14,2710400586
15,3655914076
16,1222457094
17,1506576397
18,3623219247
19,3238291072
20,1710887094
21,2635698246
