Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21,sub_22,sub_23,sub_24,sub_25,sub_26,sub_27,sub_28,sub_29,sub_30,sub_31,sub_32,sub_33,sub_34,sub_35,sub_36,sub_37,sub_38,sub_39,sub_40,sub_41,sub_42,sub_43,sub_44,sub_45,sub_46
5/15/1999,1999,5,7.44,7.44,7.44,7.44,0,7.44,0,14.88,14.88,22.32,22.32,22.32,22.32,7.44,14.88,7.44,0,14.88,7.44,14.88,7.44,0,0,7.44,0,14.88,0,14.88,14.88,14.88,22.32,22.32,22.32,0,0,0,7.44,7.44,7.44,14.88,7.44,7.44,7.44,7.44,7.44,0
6/15/1999,1999,6,0,0,21.6,7.2,0,14.4,0,14.4,14.4,7.2,14.4,14.4,14.4,21.6,21.6,21.6,14.4,28.8,21.6,7.2,21.6,14.4,7.2,21.6,14.4,21.6,14.4,21.6,14.4,14.4,14.4,7.2,14.4,7.2,0,0,7.2,7.2,0,14.4,14.4,14.4,14.4,7.2,0,7.2
7/15/1999,1999,7,7.44,0,0,0,0,7.44,0,0,0,0,0,0,0,0,7.44,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44,0,0,0,0,0
8/15/1999,1999,8,7.44,0,7.44,0,0,0,0,7.44,7.44,7.44,7.44,7.44,7.44,7.44,22.32,14.88,7.44,7.44,7.44,7.44,7.44,7.44,0,7.44,7.44,7.44,0,7.44,7.44,7.44,14.88,7.44,7.44,0,0,0,0,0,0,7.44,0,0,0,0,14.88,7.44
9/15/1999,1999,9,7.2,7.2,0,0,7.2,0,0,0,7.2,0,7.2,0,0,0,0,0,0,0,0,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,0,7.2,7.2,7.2,7.2,0,0,0,0,0,0
10/15/1999,1999,10,7.44,7.44,59.52,0,0,7.44,7.44,14.88,29.76,29.76,37.2,37.2,44.64,52.08,44.64,66.96,44.64,66.96,59.52,7.44,59.52,29.76,0,59.52,22.32,66.96,14.88,59.52,52.08,59.52,66.96,44.64,52.08,22.32,0,22.32,7.44,7.44,0,7.44,7.44,7.44,7.44,0,52.08,44.64
11/15/1999,1999,11,28.8,43.2,158.4,50.4,28.8,72,43.2,64.8,86.4,108,129.6,129.6,136.8,151.2,86.4,165.6,165.6,165.6,158.4,36,158.4,144,28.8,158.4,122.4,158.4,100.8,144,144,108,158.4,136.8,144,115.2,14.4,108,50.4,50.4,36,57.6,72,72,72,50.4,172.8,172.8
12/15/1999,1999,12,37.2,37.2,59.52,0,14.88,0,7.44,7.44,29.76,37.2,44.64,44.64,52.08,52.08,29.76,59.52,52.08,66.96,59.52,22.32,59.52,44.64,0,59.52,44.64,66.96,37.2,59.52,52.08,37.2,59.52,44.64,52.08,37.2,22.32,37.2,37.2,37.2,14.88,0,0,0,0,0,66.96,52.08
1/15/2000,2000,1,96.72,126.48,275.28,178.56,104.16,282.72,133.92,260.4,312.48,327.36,379.44,364.56,386.88,260.4,171.12,290.16,260.4,297.6,275.28,141.36,282.72,215.76,126.48,282.72,186,297.6,148.8,275.28,267.84,260.4,364.56,312.48,379.44,163.68,44.64,171.12,163.68,163.68,119.04,230.64,267.84,275.28,275.28,193.44,275.28,267.84
2/15/2000,2000,2,139.2,194.88,334.08,229.68,160.08,320.16,160.08,264.48,299.28,348,389.76,389.76,410.64,334.08,160.08,306.24,354.96,320.16,341.04,187.92,327.12,278.4,180.96,327.12,222.72,334.08,187.92,348,375.84,320.16,473.28,424.56,431.52,257.52,69.6,299.28,236.64,236.64,187.92,271.44,320.16,327.12,327.12,243.6,285.36,354.96
