Date,Year,Month,sub_1,sub_2,sub_3,sub_4,sub_5,sub_6,sub_7,sub_8,sub_9,sub_10,sub_11,sub_12,sub_13,sub_14,sub_15,sub_16,sub_17,sub_18,sub_19,sub_20,sub_21
11/15/2000,2000,11,50.4,50.4,36,36,57.6,21.6,21.6,21.6,21.6,14.4,14.4,7.2,7.2,7.2,0,7.2,7.2,0,0,0,7.2
12/15/2000,2000,12,66.96,52.08,37.2,29.76,59.52,22.32,22.32,22.32,14.88,7.44,14.88,7.44,7.44,7.44,0,0,0,7.44,0,7.44,7.44
1/15/2001,2001,1,178.56,171.12,156.24,141.36,193.44,96.72,104.16,96.72,81.84,89.28,104.16,104.16,96.72,74.4,66.96,89.28,81.84,66.96,59.52,52.08,66.96
2/15/2001,2001,2,215.04,188.16,161.28,168,228.48,134.4,134.4,120.96,107.52,80.64,87.36,73.92,73.92,67.2,67.2,80.64,80.64,73.92,73.92,67.2,80.64
3/15/2001,2001,3,81.84,89.28,81.84,66.96,81.84,52.08,52.08,52.08,44.64,52.08,52.08,52.08,52.08,52.08,29.76,37.2,29.76,22.32,29.76,14.88,29.76
4/15/2001,2001,4,79.2,64.8,36,50.4,72,36,50.4,57.6,36,36,50.4,50.4,43.2,21.6,36,64.8,64.8,50.4,21.6,28.8,28.8
5/15/2001,2001,5,0,0,0,0,7.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6/15/2001,2001,6,28.8,21.6,7.2,7.2,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2001,2001,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2001,2001,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2001,2001,9,21.6,14.4,7.2,7.2,7.2,7.2,7.2,7.2,7.2,0,7.2,0,0,0,0,0,0,0,0,0,0
10/15/2001,2001,10,37.2,37.2,29.76,22.32,44.64,14.88,14.88,7.44,7.44,7.44,7.44,7.44,7.44,7.44,7.44,14.88,7.44,7.44,7.44,7.44,7.44
11/15/2001,2001,11,252,216,172.8,129.6,194.4,93.6,86.4,86.4,72,57.6,79.2,79.2,72,43.2,43.2,72,64.8,50.4,28.8,28.8,36
12/15/2001,2001,12,319.92,275.28,238.08,252.96,327.36,200.88,208.32,186,171.12,119.04,156.24,141.36,111.6,59.52,59.52,111.6,104.16,74.4,29.76,37.2,37.2
1/15/2002,2002,1,141.36,133.92,111.6,96.72,148.8,59.52,66.96,52.08,44.64,37.2,52.08,44.64,37.2,14.88,22.32,37.2,37.2,22.32,14.88,14.88,14.88
2/15/2002,2002,2,87.36,60.48,33.6,40.32,67.2,26.88,33.6,40.32,26.88,20.16,33.6,26.88,20.16,6.72,6.72,13.44,13.44,6.72,0,0,6.72
3/15/2002,2002,3,66.96,66.96,52.08,81.84,119.04,59.52,81.84,89.28,59.52,44.64,66.96,52.08,44.64,22.32,22.32,44.64,44.64,29.76,7.44,14.88,14.88
4/15/2002,2002,4,43.2,28.8,14.4,14.4,28.8,7.2,7.2,14.4,7.2,7.2,7.2,7.2,7.2,7.2,14.4,14.4,14.4,14.4,21.6,21.6,14.4
5/15/2002,2002,5,37.2,29.76,29.76,37.2,52.08,29.76,37.2,37.2,22.32,14.88,22.32,22.32,14.88,7.44,7.44,14.88,14.88,7.44,0,7.44,7.44
6/15/2002,2002,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2002,2002,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
8/15/2002,2002,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9/15/2002,2002,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2002,2002,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11/15/2002,2002,11,115.2,100.8,86.4,72,108,57.6,64.8,72,57.6,64.8,79.2,79.2,72,43.2,43.2,72,64.8,57.6,28.8,36,50.4
12/15/2002,2002,12,513.36,431.52,334.8,319.92,476.16,230.64,223.2,186,186,141.36,171.12,148.8,119.04,89.28,66.96,96.72,81.84,59.52,44.64,37.2,52.08
1/15/2003,2003,1,186,156.24,104.16,89.28,156.24,44.64,52.08,29.76,29.76,22.32,22.32,22.32,14.88,7.44,7.44,7.44,7.44,7.44,0,0,0
2/15/2003,2003,2,67.2,67.2,60.48,53.76,80.64,33.6,40.32,40.32,33.6,33.6,33.6,26.88,33.6,40.32,40.32,47.04,47.04,47.04,40.32,47.04,60.48
3/15/2003,2003,3,126.48,111.6,74.4,74.4,104.16,52.08,66.96,59.52,44.64,29.76,44.64,37.2,29.76,22.32,22.32,37.2,37.2,29.76,14.88,14.88,22.32
4/15/2003,2003,4,208.8,180,129.6,136.8,208.8,93.6,115.2,115.2,79.2,64.8,93.6,79.2,72,36,43.2,72,72,50.4,28.8,36,36
5/15/2003,2003,5,37.2,44.64,44.64,37.2,59.52,22.32,29.76,29.76,22.32,22.32,22.32,22.32,29.76,29.76,22.32,37.2,37.2,22.32,14.88,14.88,14.88
6/15/2003,2003,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
7/15/2003,2003,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.44,7.44
8/15/2003,2003,8,22.32,22.32,14.88,14.88,22.32,7.44,14.88,14.88,7.44,7.44,14.88,14.88,7.44,0,0,0,0,0,0,7.44,7.44
9/15/2003,2003,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10/15/2003,2003,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
